candidato_id,anno,nombre_candidato,numero_de_votos,municipio,nombre_normalizado,PARTIDO_CI
MUN-00001-abe71d5df08e4e4d8524098aa2e00918,2021,JOSUE YAHAIR LOREDO GARZA,14,1. Abasolo,josue yahair loredo garza,PVEM
MUN-00002-130491eb169e482d9fefe2f64619eb48,2021,JOSE CARLOS GONZALEZ CHARLES,189,1. Abasolo,jose carlos gonzalez charles,PT
MUN-00003-d4f9811820d0455ba36f4ff4bd68fab0,2021,REYNALDO JAVIER CANTU MONTES,"1,117",1. Abasolo,reynaldo javier cantu montes,MC
MUN-00004-d318fcaf0b4843f8ad33efba8949b0c4,2021,JAIME VILLARREAL RAMIREZ,477,1. Abasolo,jaime villarreal ramirez,MORENA
MUN-00005-6d0b2f042c914870b90c84f6c11a1752,2021,LORENA BEATRIZ BENITEZ SANCHEZ,3,1. Abasolo,lorena beatriz benitez sanchez,VIDA
MUN-00006-809d7b98e54b4f718257d6de92a253ce,2021,LIZETH PATRICIA GUTIERREZ HERNANDEZ,3,1. Abasolo,lizeth patricia gutierrez hernandez,PL
MUN-00007-66aa2cf0a4cb443694a1c228a962c14b,2021,BERTHA ALICIA ALEMAN MUÑIZ,203,1. Abasolo,bertha alicia aleman muñiz,FCXNL
MUN-00008-8a87c95fed564f909b0044bca3eeee0d,2021,BLANCA DALIA CANALES GOMEZ,"1,509",2. Agualeguas,blanca dalia canales gomez,MC
MUN-00009-f4e1af1ca8ea427ea83b988b5fceb411,2021,Registro cancelado,2,2. Agualeguas,registro cancelado,ESO
MUN-00010-d1fbac75d805478d9c521ddbf1cc5a99,2021,ALDO CASTELLANOS AMAYA,"1,608",2. Agualeguas,aldo castellanos amaya,FCXNL
MUN-00011-85ed35a2aa14482aa717d45d3a8450c4,2021,VERONICA VIOLETA GARCIA CANTU,48,2. Agualeguas,veronica violeta garcia cantu,SHHNL
MUN-00012-bd28684a21de48658ff17483c6c738fa,2021,ADOLFO LEAL SALINAS,542,3. Los Aldamas,adolfo leal salinas,MC
MUN-00013-12ee1b52a13449faafcb0f0a0d90cc04,2021,JANETT LEAL LEAL,752,3. Los Aldamas,janett leal leal,FCXNL
MUN-00014-e04b4dcb546643f2b22e5041f2265d29,2021,REGULO GARCIA HINOJOSA,37,3. Los Aldamas,regulo garcia hinojosa,SHHNL
MUN-00015-cc363454f9f14836b1ca83163d865ddc,2021,EDUARDO LEAL BUENFIL,"9,065",4. Allende,eduardo leal buenfil,PAN
MUN-00016-9c6b68fdb0f04a2098155fa3b9cede59,2021,ANA MARICELA CHAPA CAVAZOS,614,4. Allende,ana maricela chapa cavazos,PRI
MUN-00017-01d89f91ba284c30a772b26eec489ca2,2021,TATIANA CONCEPCION CAVAZOS MARTINEZ,171,4. Allende,tatiana concepcion cavazos martinez,PT
MUN-00018-a233216038614f89a4f305d53dc17a92,2021,DIANA MARGARITA CAVAZOS LOZANO,"4,263",4. Allende,diana margarita cavazos lozano,MC
MUN-00019-49e0b05e9e4e435e93f9ed1a069036f1,2021,ANA MARIA GARCIA CAVAZOS,"1,932",4. Allende,ana maria garcia cavazos,SHHNL
MUN-00020-660c2d36acbf475989ccc31860095104,2021,KARINA RAMIREZ ROBLES,41,5. Anáhuac,karina ramirez robles,PVEM
MUN-00021-02510b156c4e4ff0831c81704a3f3115,2021,ROCIO ISABEL SANTOS CHAPOY,"3,049",5. Anáhuac,rocio isabel santos chapoy,MC
MUN-00022-885048778ded424ea68e7d30987b72a3,2021,ERNESTINA LONGORIA SALINAS,510,5. Anáhuac,ernestina longoria salinas,MORENA
MUN-00023-8af2351de9a84ffc811db59614283d90,2021,JUAN MANUEL MORTON GONZALEZ,"6,011",5. Anáhuac,juan manuel morton gonzalez,FCXNL
MUN-00024-1f51204e222a42b0ad4437e1d36834cc,2021,JULIETA REGALADO CUELLAR,"5,227",6. Apodaca,julieta regalado cuellar,PVEM
MUN-00025-06352d99c160468484d93b3c2e9b6d7d,2021,RODRIGO PUENTE ORNELAS,"4,740",6. Apodaca,rodrigo puente ornelas,PT
MUN-00026-b736fb19079d42b7ba65be4d18dd193b,2021,OSCAR ALBERTO CANTU GARCIA,"40,358",6. Apodaca,oscar alberto cantu garcia,MC
MUN-00027-57042786ce04492bb55e81feaa70b06f,2021,GLORIA CONCEPCION TREVIÑO SALAZAR,"55,204",6. Apodaca,gloria concepcion treviño salazar,MORENA
MUN-00028-98c9a75d91674e79bbd9a97846d3047b,2021,MAYRA ALEJANDRA GONZALEZ GARZA,"2,804",6. Apodaca,mayra alejandra gonzalez garza,VIDA
MUN-00029-fd5717c1fc4f4c308777da942b034f4d,2021,YULIHANA MEAVE ARBIZO,985,6. Apodaca,yulihana meave arbizo,ESO
MUN-00030-c741fe9055814555a22df1d7a40b7dc3,2021,JUANA LEIJA RUIZ,435,6. Apodaca,juana leija ruiz,PJ
MUN-00031-691abe4d82eb42e5930b48880a5d3f8c,2021,CESAR GARZA ARREDONDO,"153,444",6. Apodaca,cesar garza arredondo,FCXNL
MUN-00032-3b074f79f6584ebb92761a6ce7509c67,2021,MARIAN ADAMARI SOTO VILLANUEVA,24,7. Aramberri,marian adamari soto villanueva,PAN
MUN-00033-a7d068f0793f4313928dd73762683c23,2021,MARIA FRANCISCA ARGUELLO QUIÑONES,"4,027",7. Aramberri,maria francisca arguello quiñones,PRI
MUN-00034-35e7481df2b64a80bf077cacb8a03638,2021,CITLALY THALIA ESCOBEDO COBARRUVIAS,44,7. Aramberri,citlaly thalia escobedo cobarruvias,PT
MUN-00035-542710f3d988450299522c27b4baa3dd,2021,MARTIN CASTILLO COVARRUBIAS,"5,539",7. Aramberri,martin castillo covarrubias,MC
MUN-00036-8c00054c452848e5ac13cac5215d6c06,2021,FELIX BACA DE LA ROSA,210,7. Aramberri,felix baca de la rosa,SHHNL
MUN-00037-db84d5ddf32448daaf204a33762b4ef7,2021,EDITH GONZALEZ RODRIGUEZ,38,8. Bustamante,edith gonzalez rodriguez,PT
MUN-00038-ed1ff3e737a44d26bacf08412d47b268,2021,JORGE SANTOS GUTIERREZ,"1,167",8. Bustamante,jorge santos gutierrez,MC
MUN-00039-7ff074559a9c461488d3909cec26db0b,2021,Registro cancelado,2,8. Bustamante,registro cancelado,ESO
MUN-00040-d0c51cab08bc4d14b4b20a68bd1b7ed7,2021,SALVADOR PALOMARES BERNAL,71,8. Bustamante,salvador palomares bernal,ESO
MUN-00041-6081450ff469415ca99e8084f2b9f7fb,2021,MARIO ALFONSO RESENDEZ GARZA,"1,452",8. Bustamante,mario alfonso resendez garza,FCXNL
MUN-00042-eb5b78b64a784f4d99db0d0bde20a4d4,2021,ALEX GOMEZ LOZANO,85,8. Bustamante,alex gomez lozano,SHHNL
MUN-00043-23bd7080dc31424297140f9829386811,2021,JULIO CESAR GARZA MARROQUIN,"4,447",9. Cadereyta Jiménez,julio cesar garza marroquin,PVEM
MUN-00044-0689104ca2934a5cbadaa67b1c836cfd,2021,KAREN YARLETH GARZA CASTAÑEDA,971,9. Cadereyta Jiménez,karen yarleth garza castañeda,PT
MUN-00045-d49417383c3845588a31295af5af12c7,2021,CARLOS RAFAEL RODRIGUEZ GOMEZ,"15,606",9. Cadereyta Jiménez,carlos rafael rodriguez gomez,MC
MUN-00046-da9f010bb8024d3b91e6afe907f44fdb,2021,CECILIA MARGARITA CANTU MONTEMAYOR,"7,854",9. Cadereyta Jiménez,cecilia margarita cantu montemayor,MORENA
MUN-00047-71d8e060afdc4cc18a296102f8b7d46d,2021,MAGALI IBARRA CASTILLO,398,9. Cadereyta Jiménez,magali ibarra castillo,VIDA
MUN-00048-167dab1eccb148a58fd9b13a73c57ba2,2021,COSME JULIAN LEAL CANTU,"13,925",9. Cadereyta Jiménez,cosme julian leal cantu,FCXNL
MUN-00049-57de78df32b34af19dc5a2771b43e645,2021,JOSE HOMERO GARZA RODRIGUEZ,704,10. El Carmen,jose homero garza rodriguez,PT
MUN-00050-79ab776c9c9a4986b78e786fc282c161,2021,GERARDO ALFONSO DE LA MAZA VILLARREAL,"9,291",10. El Carmen,gerardo alfonso de la maza villarreal,MC
MUN-00051-e52c26dd3828448ab1aec0f007cc07c2,2021,REBECA JOY MARTINEZ OST,461,10. El Carmen,rebeca joy martinez ost,VIDA
MUN-00052-c971f443784d4af99cd80044ed726866,2021,FREDDY GOMEZ LOPEZ,772,10. El Carmen,freddy gomez lopez,PL
MUN-00053-768dcc75f42f47b38a6edbc87bdf41f8,2021,FRANCISCO GERMAN SOTO OROZCO,308,10. El Carmen,francisco german soto orozco,PJ
MUN-00054-709ceb3600984bf380e4f8a427dd2158,2021,ERIKA YASMIN GAONA GARCIA,860,10. El Carmen,erika yasmin gaona garcia,FCXNL
MUN-00055-090f64a1dbec417d8e1bd8811de6ff98,2021,GRACIELA VILLARREAL REYES,"6,713",10. El Carmen,graciela villarreal reyes,SHHNL
MUN-00056-2573bd92ddf749ab91f210640e2abeed,2021,NELDA MARIA BENAVIDES SANCHEZ,12,11. Cerralvo,nelda maria benavides sanchez,PT
MUN-00057-a84b50b1607d4c429d7ab328fd0d8d77,2021,BALTAZAR MARTINEZ MONTEMAYOR,"2,326",11. Cerralvo,baltazar martinez montemayor,MC
MUN-00058-1eff8732ae1644d1907940a772b1c421,2021,EDUARDO VILLARREAL ALCORTA,"1,720",11. Cerralvo,eduardo villarreal alcorta,FCXNL
MUN-00059-1a77e4db2f334bd280638cb84fe08e78,2021,WENDY ANGELICA ALVAREZ VELAZQUEZ,110,11. Cerralvo,wendy angelica alvarez velazquez,SHHNL
MUN-00060-b370bee118ae4bd5973d9e830a796eb2,2021,ELISA DE LA PARRA SALDIVAR,396,12. Ciénega de Flores,elisa de la parra saldivar,PT
MUN-00061-3234aedcff0b4266aace69ffd4e35207,2021,JAVIER GONZALEZ GARCIA,"4,115",12. Ciénega de Flores,javier gonzalez garcia,MC
MUN-00062-183a9cd5e9ff463cb5cb5e8df4346509,2021,MARCO ANTONIO SALAZAR JUAREZ,391,12. Ciénega de Flores,marco antonio salazar juarez,VIDA
MUN-00063-8b6a228d91ce4cd8817ba1c911d7d2f4,2021,PEDRO ALONSO CASAS QUIÑONES,"5,663",12. Ciénega de Flores,pedro alonso casas quiñones,FCXNL
MUN-00064-9ada18c05a864257a51e9b54bedcbb77,2021,MIGUEL ANGEL QUIROGA TREVIÑO,"11,672",12. Ciénega de Flores,miguel angel quiroga treviño,SHHNL
MUN-00065-9f1fc617df8e41fbb28514b4e6e23240,2021,ALEJO RODRIGUEZ CANTU,"5,057",13. China,alejo rodriguez cantu,PVEM
MUN-00066-ceb7706319a94b84bdac59b2fb1e871b,2021,ADA MARISOL RIOS DE LEON,31,13. China,ada marisol rios de leon,PT
MUN-00067-d6ea5e4ec5974051bb605097371ce2da,2021,SILVIA RODRIGUEZ CANTU,"1,766",13. China,silvia rodriguez cantu,MC
MUN-00068-a0671be54d114fa5b8b461ac10418715,2021,VIANEY GONZALEZ GARCIA,77,13. China,vianey gonzalez garcia,MORENA
MUN-00069-50dc1dff624f40bc94d47596152aac41,2021,BLANCA GUILLERMINA CANTU RIVERA,63,13. China,blanca guillermina cantu rivera,FCXNL
MUN-00070-682ab65fd07f4c4e822c83ad32895062,2021,JESICA MARIA SALDAÑA CANTU,146,14. Dr. Arroyo,jesica maria saldaña cantu,PAN
MUN-00071-0b3fa8481b5d42f6af49f3b0e05138c7,2021,JUAN JOSE VARGAS ROSALES,"11,631",14. Dr. Arroyo,juan jose vargas rosales,PRI
MUN-00072-2ec5f0ba5462494caa197e0484141d7f,2021,MACARIO LEIJA TORRES,155,14. Dr. Arroyo,macario leija torres,PVEM
MUN-00073-dddab01b59d54ce6b9e648317035ea41,2021,JUANA MARIA LUCIO MONTOYA,270,14. Dr. Arroyo,juana maria lucio montoya,PT
MUN-00074-516e57930f4f4f9a89ee0dcc5e905287,2021,MERARI SARAHI ZAPATA REYES,738,14. Dr. Arroyo,merari sarahi zapata reyes,MC
MUN-00075-c528f5811fd84c3c9db1a94714e68b0b,2021,ZEFERINO RUEDA CERDA,"8,571",14. Dr. Arroyo,zeferino rueda cerda,MORENA
MUN-00076-745c2e34b179487fabaddde6b61a0f70,2021,JUANA DE LAGOS RAMOS PERALES,93,14. Dr. Arroyo,juana de lagos ramos perales,ESO
MUN-00077-3bfdb5e67f0a42c1b65bb6d6ccbead29,2021,ARNOLDO ALANIS SOLIS,780,15. Dr. Coss,arnoldo alanis solis,PVEM
MUN-00078-966713fbd92d4339b61f4471a6c5736d,2021,GERARDO DE JESUS SALAZAR CAVAZOS,166,15. Dr. Coss,gerardo de jesus salazar cavazos,PT
MUN-00079-3273e516a16949f9802d8bae6b3688fc,2021,JOSE GUADALUPE RIOS RIOS,832,15. Dr. Coss,jose guadalupe rios rios,MC
MUN-00080-1dd9d28bb60f494ebcd9e2a52aa4ba2a,2021,OLIVIA ASERET LEDEZMA GARZA,32,15. Dr. Coss,olivia aseret ledezma garza,FCXNL
MUN-00081-adb0eac2fb6341d9bd01d018c93592de,2021,MARIA ANGELINA GUTIERREZ SALDIVAR,24,16. Dr. González,maria angelina gutierrez saldivar,PAN
MUN-00082-33fd25bd41d14def9759e7dca85b0ef1,2021,ALEJANDRO GONZALEZ TREVIÑO,"1,132",16. Dr. González,alejandro gonzalez treviño,PRI
MUN-00083-c053714f845d472a9e601ca6721aafe9,2021,FRANCISCO LUCIO LOPEZ GARZA,12,16. Dr. González,francisco lucio lopez garza,PRD
MUN-00084-87c1ded9d0634856a80211d8f9647ec3,2021,OSVELIA PAEZ GUAJARDO,656,16. Dr. González,osvelia paez guajardo,MC
MUN-00085-de4c4ff194f64c5ba547335ea9945d09,2021,JESUS ANGEL CUELLAR BARRIENTOS,436,16. Dr. González,jesus angel cuellar barrientos,SHHNL
MUN-00086-de2c887af82b4d26a4edbd8767b93f82,2021,MARTHA CELIA MENDOZA LUNA,327,17. Galeana,martha celia mendoza luna,PVEM
MUN-00087-9017a7b0d5d84c0296dd8ae9679b8967,2021,MARTHA ALICIA BAZALDUA BAZALDUA,145,17. Galeana,martha alicia bazaldua bazaldua,PT
MUN-00088-60af3a951ee7486694c5434073a6fd6e,2021,JOSE MANUEL DE LA CRUZ DIAZ,"7,495",17. Galeana,jose manuel de la cruz diaz,MC
MUN-00089-92e8ff06a6f7439492ed7e99ef4b187c,2021,JESUS SALVADOR GAMEZ DELGADO,841,17. Galeana,jesus salvador gamez delgado,MORENA
MUN-00090-26404d584f08482fb4606692abaeb439,2021,ALEJANDRA RAMIREZ DIAZ,"10,753",17. Galeana,alejandra ramirez diaz,FCXNL
MUN-00091-6f18c7e8d61c4c90a990c0fabb83427f,2021,LUIS AURELIO GUEVARA GARZA,"17,718",18. García,luis aurelio guevara garza,PVEM
MUN-00092-b1917732af1f4720bc88ec3120ec83a5,2021,VICTOR HUGO GOVEA JIMENEZ,"2,134",18. García,victor hugo govea jimenez,PT
MUN-00093-ca64fbfa92ea49439a0067588cfbbe5f,2021,MIGUEL ANGEL DAVILA TREVIÑO,"23,994",18. García,miguel angel davila treviño,MC
MUN-00094-2b1e2995481c45e0ac9f64bc79189c77,2021,MANUEL GUERRA CAVAZOS,"51,857",18. García,manuel guerra cavazos,MORENA
MUN-00095-99473c8e163e421184e19dad36e3683f,2021,CESAR ADRIAN VALDES MARTINEZ,"5,933",18. García,cesar adrian valdes martinez,VIDA
MUN-00096-236ac0c6a5c54c5782d4efc96fc6f53f,2021,J. CARMEN MONSIVAIS ZEPEDA,"1,127",18. García,j. carmen monsivais zepeda,ESO
MUN-00097-6046ee28cfbe4cd0ab08269987ec4daa,2021,BRIANDA PATRICIA CORONADO MUÑOZ,209,18. García,brianda patricia coronado muñoz,PJ
MUN-00098-2782b3a1ead147aeb617bcccba72a44f,2021,CRUZ MIREYA CARDONA HERNANDEZ,"11,307",18. García,cruz mireya cardona hernandez,FCXNL
MUN-00099-f8ca566ad090440c999dbdb6844541b5,2021,MAURICIO FERNANDEZ GARZA,"50,613",19. San Pedro Garza García,mauricio fernandez garza,PAN
MUN-00100-4cda7ca10f6043f7a63b84257b26b8c6,2021,MARIA DEL PILAR MORALES SOMOHANO,"1,408",19. San Pedro Garza García,maria del pilar morales somohano,PRI
MUN-00101-ca270f00c0cd4f07814315017ae7c939,2021,MARTHA ALICIA CARRANZA HERNANDEZ,586,19. San Pedro Garza García,martha alicia carranza hernandez,PVEM
MUN-00102-a786e058ccc6449f81c600eef4558559,2021,MARGARITA QUIROZ NAVARRO,484,19. San Pedro Garza García,margarita quiroz navarro,PT
MUN-00103-27a4a3dab71f447d82464f639b863ad3,2021,LORENIA BEATRIZ CANAVATI VON BORSTEL,"6,495",19. San Pedro Garza García,lorenia beatriz canavati von borstel,MC
MUN-00104-5a1a7f58361f47259dcad4e4a90f1287,2021,PAULINA FLORES CANTU,"3,662",19. San Pedro Garza García,paulina flores cantu,MORENA
MUN-00105-82491e0bf7f94134b4e1174f6b1d7c28,2021,JAVIER ERNESTO GONZALEZ JIMENEZ,884,19. San Pedro Garza García,javier ernesto gonzalez jimenez,VIDA
MUN-00106-409915cdaa6c45f9801fd0b50d862758,2021,ADELA SILVA LEAL,78,19. San Pedro Garza García,adela silva leal,PES
MUN-00107-2152c0374ad1447f8091c5f507a93b9b,2021,VIVIANNE CLARIOND DOMENE,"14,213",19. San Pedro Garza García,vivianne clariond domene,CAND_IND_1
MUN-00108-8d2a29c276494d29b0271cfa038a1927,2021,PATRICIA FRINEE CANTU GARZA,"1,725",20. Gral. Bravo,patricia frinee cantu garza,PAN
MUN-00109-1ea9858ad9874d4f8e1c04654300057c,2021,JESUS FELICIANO NIÑO SALAZAR,582,20. Gral. Bravo,jesus feliciano niño salazar,PRI
MUN-00110-e7be72530ce742b8a2fc53040a915bc1,2021,ODELIA RODRIGUEZ GONZALEZ,"1,359",20. Gral. Bravo,odelia rodriguez gonzalez,PT
MUN-00111-c1ce46e00f0e4bdba051b80e266ef706,2021,MYRNA OTILIA PEREZ DE LEON,209,20. Gral. Bravo,myrna otilia perez de leon,MC
MUN-00112-6226df4228ad45c58ee812a600d049ea,2021,KATHIA CECILIA SALAZAR DE LA CRUZ,6,20. Gral. Bravo,kathia cecilia salazar de la cruz,VIDA
MUN-00113-6f4f4989a25447748726d885319aa5c5,2021,MARIA GUADALUPE ORTIZ GONZALEZ,171,20. Gral. Bravo,maria guadalupe ortiz gonzalez,SHHNL
MUN-00114-b966b92306514c3da3de51486a5323f5,2021,AMADA YANETH CORTEZ MIRELES,"5,938",21. Gral. Escobedo,amada yaneth cortez mireles,PT
MUN-00115-2265ac30288d4e9f9b2dd76be28a18bb,2021,ORPHA NYDIA GUZMAN SANCHEZ,"35,793",21. Gral. Escobedo,orpha nydia guzman sanchez,MC
MUN-00116-e588810ed71144d6b2e3be55957bf7ad,2021,OSCAR NELSON CRUZ RAMIREZ,"3,488",21. Gral. Escobedo,oscar nelson cruz ramirez,VIDA
MUN-00117-091f121d6993473b84baa7987757d26d,2021,BLANCA ARGELIA FRANCO SALAS,"1,179",21. Gral. Escobedo,blanca argelia franco salas,ESO
MUN-00118-c1dc0485585b4d6eb1a2e372af696f47,2021,OLGA MAYELA GONZALEZ CERROS,533,21. Gral. Escobedo,olga mayela gonzalez cerros,PES
MUN-00119-edd4d294726b4152a55f34257bf52e5e,2021,CARLOS FERMIN ROMERO SOLIS,"1,111",21. Gral. Escobedo,carlos fermin romero solis,PJ
MUN-00120-43429d6b61344f1286eac5a978257307,2021,ELVA ARACELI ALONSO GONZALEZ,"35,429",21. Gral. Escobedo,elva araceli alonso gonzalez,FCXNL
MUN-00121-bbd6e2abfda14edf895fe23b4393d160,2021,ANDRES CONCEPCION MIJES LLOVERA,"78,092",21. Gral. Escobedo,andres concepcion mijes llovera,SHHNL
MUN-00122-6e13453ddda4485aadb8744a5ede0d0c,2021,LUCILA DENISSE DE LA CRUZ ELIZONDO,123,22. Gral. Terán,lucila denisse de la cruz elizondo,PVEM
MUN-00123-4e395ebe35d2433d92cf57ff211a2278,2021,JOSE LUIS VILLARREAL MARTINEZ,102,22. Gral. Terán,jose luis villarreal martinez,PT
MUN-00124-6bb2d607d1494be0bb5547c3142e561b,2021,DAVID JONATHAN SANCHEZ QUINTANILLA,"4,387",22. Gral. Terán,david jonathan sanchez quintanilla,MC
MUN-00125-3744e80a00b442f1877865ea2e3078e4,2021,DAVID JAVIER MARTINEZ CRUZ,659,22. Gral. Terán,david javier martinez cruz,MORENA
MUN-00126-4c346be376fd453fbe314f4fc24b2418,2021,VERONICA GARZA GARZA,"2,467",22. Gral. Terán,veronica garza garza,FCXNL
MUN-00127-c572a30518514ca5bbdb3f8d92e7e589,2021,ELIA HINOJOSA GARCIA,567,23. Gral. Treviño,elia hinojosa garcia,MC
MUN-00128-cca756e10f7f4cd48a1d61924e64398f,2021,ELODIA CHAPA CASTILLO,6,23. Gral. Treviño,elodia chapa castillo,VIDA
MUN-00129-ebe5eb00127943b486a91b429c53bb2e,2021,MARIBEL HINOJOSA GARCIA,734,23. Gral. Treviño,maribel hinojosa garcia,FCXNL
MUN-00130-713de698c8ab4666b836dee82362f4ca,2021,FLOR DEL CARMEN AVILA RAMIREZ,12,23. Gral. Treviño,flor del carmen avila ramirez,SHHNL
MUN-00131-42d095001a65430a8232a7887dfd524f,2021,CATALINA ESTRADA FERNANDEZ,20,24. Gral. Zaragoza,catalina estrada fernandez,PVEM
MUN-00132-1660257e3e59420db625a7be179ad97e,2021,MILDRED HERMELINDA MIRELES RIVERA,"1,574",24. Gral. Zaragoza,mildred hermelinda mireles rivera,MC
MUN-00133-9e60ffb734504294ba944e2cb74fa989,2021,BRENDA ORALIA ROSAS HERNANDEZ,72,24. Gral. Zaragoza,brenda oralia rosas hernandez,MORENA
MUN-00134-f5c4d322cce74b0da9438ce182d0b6f4,2021,JUDITH AMARANTA IBARRA RODRIGUEZ,"2,157",24. Gral. Zaragoza,judith amaranta ibarra rodriguez,ESO
MUN-00135-e1d3046acb9d4bd38a34e8e924a0ab0f,2021,DORA HILDA JASSO RAMIREZ,65,24. Gral. Zaragoza,dora hilda jasso ramirez,FCXNL
MUN-00136-a5600f552cec44c1a30704748de0a8a7,2021,BRENDA BELEN AVILA CARRILLO,878,25. Gral. Zuazua,brenda belen avila carrillo,PVEM
MUN-00137-e0232669f6094eefbf6327e40346927d,2021,ALEYDA AHUMADA RIVERA,615,25. Gral. Zuazua,aleyda ahumada rivera,PT
MUN-00138-08bc981f09964e798d88ac95ab744be0,2021,NANCY OLINDA GUTIERREZ ARRAMBIDE,"8,003",25. Gral. Zuazua,nancy olinda gutierrez arrambide,MC
MUN-00139-fd87c0a13b8341248b01e0c3da617da2,2021,ELVA DEYANIRA MARTINEZ GONZALEZ,"10,020",25. Gral. Zuazua,elva deyanira martinez gonzalez,MORENA
MUN-00140-af998c93e9504aa5a1ebab041738fc23,2021,MAYRA LIZBETH ALVARADO ALONSO,961,25. Gral. Zuazua,mayra lizbeth alvarado alonso,VIDA
MUN-00141-e3f400679ca542a6b61622044bb7fcfb,2021,JUANA IBAÑEZ RUTIAGA,303,25. Gral. Zuazua,juana ibañez rutiaga,ESO
MUN-00142-be184361d31c4af4a4b16c4091d8a469,2021,IGNACIO ALVARADO SALAS,545,25. Gral. Zuazua,ignacio alvarado salas,PES
MUN-00143-ee31f9d6f9e44d9e91dc091a1b250356,2021,ALMA ROSA MONTEMAYOR MARTINEZ,"5,005",25. Gral. Zuazua,alma rosa montemayor martinez,FCXNL
MUN-00144-84be394efd644426a279561aa274d8ab,2021,KARLA CECILIA MINAYA GARZA,"11,964",26. Guadalupe,karla cecilia minaya garza,PT
MUN-00145-e1dc74f21dda4fdf90737e5a64eed193,2021,HECTOR GARCIA GARCIA,"113,202",26. Guadalupe,hector garcia garcia,MC
MUN-00146-cb6a67faf1bf481aae3ab184d167cc8d,2021,LUIS ANGEL BENAVIDES GARZA,"9,041",26. Guadalupe,luis angel benavides garza,VIDA
MUN-00147-17e21cbe16d34e3a970c06e4a3966c24,2021,ARMANDO JAVIER PALOMO GONZALEZ,"1,223",26. Guadalupe,armando javier palomo gonzalez,PJ
